\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{K*\chi}{c*\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Stall},\Pi_{Occ},\Pi_{Eff}
141675.90725896737,0.7586683023455464,1.0,14.0,2.901671276414852,0.20726223402963226,18.45338727968036,10119.707661354812,10119.707661354812,0.20726223402963226,18.45338727968036
49271.4040779487,2.0872651221344154,1.0,7.0,3.2314746832699486,0.4616392404671355,3.35367075594205,7038.7720111355275,7038.7720111355275,0.4616392404671355,3.35367075594205
7927.572272365905,0.18289130844768078,1.0,9.0,0.22382697454236786,0.024869663838040873,49.20955553541029,880.8413635962115,880.8413635962115,0.024869663838040873,49.20955553541029
308008.3035857878,0.33650446617590296,1.0,12.0,0.5071599284015926,0.042263327366799386,35.660745119879536,25667.358632148986,25667.358632148986,0.042263327366799386,35.660745119879536
42594.316127102706,0.25389518978298264,1.0,11.0,0.3402934063189465,0.03093576421081332,43.324964168885074,3872.210557009337,3872.210557009337,0.03093576421081332,43.324964168885074
669357.7922658672,0.14498396876266867,1.0,5.0,0.07287494863183593,0.014574989726367185,34.486571464909645,133871.55845317346,133871.55845317346,0.014574989726367185,34.486571464909645
108922.13680469645,1.2517836808974545,1.0,6.0,2.795275288073255,0.46587921467887583,4.793160425049124,18153.689467449407,18153.689467449407,0.46587921467887583,4.793160425049124
6886.4011643714375,0.4733190933910099,1.0,14.0,0.8984817430281833,0.06417726735915595,29.57835463534654,491.88579745510265,491.88579745510265,0.06417726735915595,29.57835463534654
783545.8127605848,0.7321216541710933,1.0,7.5,0.4227020946573949,0.05636027928765265,10.244199112634478,104472.77503474463,104472.77503474463,0.05636027928765265,10.244199112634478
906141.7078531553,0.4278382961664681,1.0,3.5,0.22414957675485997,0.06404273621567427,8.18066085098231,258897.63081518724,258897.63081518724,0.06404273621567427,8.18066085098231
21957.16701630813,0.9070017884105498,1.0,15.0,5.50578708963738,0.36705247264249197,16.53800487680001,1463.811134420542,1463.811134420542,0.36705247264249197,16.53800487680001
1099080.4291046981,0.6218400057827984,1.0,5.0,0.34417207882947554,0.06883441576589511,8.04065346954606,219816.08582093962,219816.08582093962,0.06883441576589511,8.04065346954606
1397974.5114275834,0.36283151755560505,1.0,4.0,0.1875880549810972,0.0468970137452743,11.024400600443945,349493.62785689585,349493.62785689585,0.0468970137452743,11.024400600443945
74037.1196832791,0.13259663370171682,1.0,15.0,0.1528661737473505,0.010191078249823368,113.12504383590384,4935.807978885274,4935.807978885274,0.010191078249823368,113.12504383590384
202249.66860040938,0.6688996158282895,1.0,8.0,1.7723232073036819,0.22154040091296023,11.959941089357192,25281.208575051172,25281.208575051172,0.22154040091296023,11.959941089357192
