\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
657505.0629585539,0.21243730863885393,1.0,6.0,0.10743073106841526,0.01774671323944419,0.192632638277414,11.604448274102673,0.01774671323944419,0.192632638277414,11.604448274102673
165333.60907337186,1.8986055332354888,1.0,5.0,2.379708573654244,0.38929623673384633,1.0642297707382486,10.406282672416197,0.38929623673384633,1.0642297707382486,10.406282672416197
114584.75668054823,0.09191584728509493,1.0,9.0,0.10121952532639798,0.011183840979673261,0.08793381142747624,9.451845483899312,0.011183840979673261,0.08793381142747624,9.451845483899312
724156.6283197859,0.7047755284792447,1.0,6.0,0.40233832591489727,0.06490381783281104,0.5334334472173367,11.701003516208779,0.06490381783281104,0.5334334472173367,11.701003516208779
317302.74264466355,0.20531208091943187,1.0,9.0,0.2583542776233442,0.028301731728347948,0.18673852172581532,10.470387043921832,0.028301731728347948,0.18673852172581532,10.470387043921832
324146.1454798551,0.4308649483237605,1.0,3.0,0.6142759028386761,0.1862792433767516,0.35827912038602516,11.59033747071164,0.1862792433767516,0.35827912038602516,11.59033747071164
1738790.6089425231,0.41308930225092144,1.0,1.5,0.2099558349540724,0.1310024345606298,0.3457783021659917,13.96323526909067,0.1310024345606298,0.3457783021659917,13.96323526909067
917950.4746406428,0.21854166819028484,1.0,1.5,0.11008974815369853,0.07082481352940115,0.19765478979740544,13.324433610847587,0.07082481352940115,0.19765478979740544,13.324433610847587
82682.14754258172,1.2813115977748382,1.0,6.0,2.795275288073255,0.3824552089915989,0.8247505397484362,9.530999518451198,0.3824552089915989,0.8247505397484362,9.530999518451198
115676.85590726451,0.5009669691257601,1.0,1.5,0.2552140473738127,0.1571257056881851,0.40610954649697284,11.25309074970314,0.1571257056881851,0.40610954649697284,11.25309074970314
100605.75661689819,0.08707659116699693,1.0,5.0,0.043620982784850354,0.008686360653514233,0.0834920667120038,9.9095268454582,0.008686360653514233,0.0834920667120038,9.9095268454582
90712.5538563216,0.10585645831869991,1.0,4.0,0.05307691867592511,0.013181964553925842,0.10062011015543207,10.029156676213843,0.013181964553925842,0.10062011015543207,10.029156676213843
388337.9080642587,0.2920298438115588,1.0,5.5,0.1491958293609255,0.02676511170333216,0.25621450401898915,11.164883044443162,0.02676511170333216,0.25621450401898915,11.164883044443162
748888.3982889672,0.2910127978166995,1.0,2.5,0.14860505326752393,0.05774237453610495,0.2554270249189337,12.610054518577487,0.05774237453610495,0.2554270249189337,12.610054518577487
602765.6157318029,0.6143286134674097,1.0,6.0,0.3391623257610856,0.05498716521748987,0.47891915102420474,11.517524233966792,0.05498716521748987,0.47891915102420474,11.517524233966792
166996.33739831246,0.10756646235197721,1.0,3.0,0.1199960409564384,0.039219444228257745,0.10216523228958327,10.92711487076161,0.039219444228257745,0.10216523228958327,10.92711487076161
203541.4907537541,0.5532064096394003,1.0,3.0,0.8248207734035682,0.2428993208860653,0.44032144559838243,11.125012860197371,0.2428993208860653,0.44032144559838243,11.125012860197371
900337.6015154041,0.5365090474989216,1.0,6.0,0.2890546923349303,0.04705130280287968,0.4295129909530519,11.918765615542736,0.04705130280287968,0.4295129909530519,11.918765615542736
468367.61795129185,0.445906336514377,1.0,3.0,0.6401024414965,0.19339953585279449,0.3687363474438742,11.958396486330718,0.19339953585279449,0.3687363474438742,11.958396486330718
347735.3850312153,0.824965875153005,1.0,4.0,0.49492047193890354,0.11665361408631093,0.6015612883133362,11.37290272056542,0.11665361408631093,0.6015612883133362,11.37290272056542
341340.4869234402,0.06294303874431603,1.0,5.0,0.03150272144837917,0.006280778839122695,0.06104151254712633,11.131197841057933,0.006280778839122695,0.06104151254712633,11.131197841057933
193329.93111129772,0.05022618274556396,1.0,2.0,0.02512889089421266,0.012486167797295585,0.04900555311020095,11.479006315449867,0.012486167797295585,0.04900555311020095,11.479006315449867
404680.81662711647,0.6306025096932751,1.0,4.0,0.34990197458163474,0.08385894914786013,0.4889495843680666,11.52455956716547,0.08385894914786013,0.4889495843680666,11.52455956716547
179693.17358836194,0.16470418224235292,1.0,5.0,0.08291440557301942,0.01644688653673118,0.15246713395229902,10.489568171821682,0.01644688653673118,0.15246713395229902,10.489568171821682
281784.52847473766,1.629913146431963,1.0,4.0,1.5213370241676412,0.322325684363035,0.966950821474007,11.162603613331118,0.322325684363035,0.966950821474007,11.162603613331118
173343.53971907165,0.09853539915876175,1.0,11.0,0.10930589959688619,0.009887853617697628,0.09397783731991075,9.665135410415695,0.009887853617697628,0.09397783731991075,9.665135410415695
488421.56564162817,0.2163321101576784,1.0,5.0,0.27543568585380074,0.05362335799194817,0.1958398631603281,11.48949626351538,0.05362335799194817,0.1958398631603281,11.48949626351538
846005.3951188608,0.23694100573829918,1.0,4.0,0.1201569001660477,0.029596884080996637,0.21264140087316005,12.26198665466192,0.029596884080996637,0.21264140087316005,12.26198665466192
379662.9038135841,0.3660491644352094,1.0,3.0,0.5042810386418627,0.15537308628163468,0.31192275203474684,11.748426754113128,0.15537308628163468,0.31192275203474684,11.748426754113128
397835.55761444516,0.27860502136846066,1.0,2.5,0.14202149730786934,0.055253610948314116,0.24576965658230593,11.977503295196707,0.055253610948314116,0.24576965658230593,11.977503295196707
