\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln(\frac{\lambda*W}{K}),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
361646.46732387814,0.12905673046699762,1.0,4.0,0.0020601310966835745,0.0005150327741708936,0.12905673046699762,11.412139103356004,0.0005150327741708936,0.12905673046699762,11.412139103356004
683225.2506318617,0.09249271765728781,1.0,2.5,0.12247662459338958,0.048990649837355835,0.09249271765728781,12.518292807363784,0.048990649837355835,0.09249271765728781,12.518292807363784
1043715.2283305586,0.3496700615077852,1.0,1.5,0.031479142757063996,0.020986095171375996,0.3496700615077852,13.452833569482387,0.020986095171375996,0.3496700615077852,13.452833569482387
2630880.8408828136,0.3599715328819193,1.0,9.0,0.0030886942658863124,0.0003431882517651458,0.3599715328819193,12.58560811213379,0.0003431882517651458,0.3599715328819193,12.58560811213379
455652.85932926746,0.16025512675451115,1.0,6.0,0.0034308552054534477,0.0005718092009089079,0.16025512675451115,11.237740223784424,0.0005718092009089079,0.16025512675451115,11.237740223784424
261104.91153399972,0.4836373428918562,1.0,1.5,0.002799798953458198,0.0018665326356387985,0.4836373428918562,12.067218202133558,0.0018665326356387985,0.4836373428918562,12.067218202133558
1088048.0001378981,3.39314848956951,1.0,6.0,0.11589047293715328,0.019315078822858878,3.39314848956951,12.108141868418006,0.019315078822858878,3.39314848956951,12.108141868418006
1063880.9780296185,0.07022581791502842,1.0,11.0,0.0015842240604670352,0.00014402036913336685,0.07022581791502842,11.479549146523151,0.00014402036913336685,0.07022581791502842,11.479549146523151
209823.7711513782,0.4161328135946913,1.0,7.0,0.03737782673727571,0.005339689533896529,0.4161328135946913,10.308146484111194,0.005339689533896529,0.4161328135946913,10.308146484111194
1968520.5355533508,0.23766230449503573,1.0,2.0,0.001860418532777594,0.000930209266388797,0.23766230449503573,13.799646656824454,0.000930209266388797,0.23766230449503573,13.799646656824454
1116767.0540728783,0.599222590505238,1.0,2.0,0.16675550400589179,0.08337775200294589,0.599222590505238,13.232803120584421,0.08337775200294589,0.599222590505238,13.232803120584421
867652.9249285128,0.6349973946115933,1.0,2.0,0.14575576470091578,0.07287788235045789,0.6349973946115933,12.98040218211215,0.07287788235045789,0.6349973946115933,12.98040218211215
748867.87853256,0.5154063972206467,1.0,10.0,0.0025370518382487346,0.00025370518382487347,0.5154063972206467,11.22374611019392,0.00025370518382487347,0.5154063972206467,11.22374611019392
700904.9406630307,1.3106434846798134,1.0,3.0,0.0028456224031805197,0.0009485408010601732,1.3106434846798134,12.361519542994298,0.0009485408010601732,1.3106434846798134,12.361519542994298
26432463.989539474,0.6532109851641864,1.0,5.0,0.5073202390345185,0.10146404780690371,0.6532109851641864,15.480665785959648,0.10146404780690371,0.6532109851641864,15.480665785959648
123695877.57609954,1.9849140577673738,1.0,4.0,0.001707380347922669,0.00042684508698066727,1.9849140577673738,17.24704218204347,0.00042684508698066727,1.9849140577673738,17.24704218204347
1955823.1126591961,0.3109577189103148,1.0,2.0,0.11758331951546828,0.05879165975773414,0.3109577189103148,13.793175534313647,0.05879165975773414,0.3109577189103148,13.793175534313647
10386.377508202704,0.32620792843005675,1.0,4.0,0.029519276042303824,0.007379819010575956,0.32620792843005675,7.862341056115318,0.007379819010575956,0.32620792843005675,7.862341056115318
48224675.04203214,0.7901276872660232,1.0,10.0,0.2655042188635404,0.026550421886354043,0.7901276872660232,15.388796492730474,0.026550421886354043,0.7901276872660232,15.388796492730474
267197.0521778493,0.8489653527828672,1.0,4.0,4.001387435586687,1.0003468588966717,0.8489653527828672,11.109462297308337,1.0003468588966717,0.8489653527828672,11.109462297308337
32387399.61456619,0.2966742880072246,1.0,3.0,5.7915518957334195e-05,1.9305172985778065e-05,0.2966742880072246,16.194667808296543,1.9305172985778065e-05,0.2966742880072246,16.194667808296543
509435.2654746477,1.2526108665231146,1.0,4.5,0.7591862727092242,0.16870806060204982,1.2526108665231146,11.636989505062596,0.16870806060204982,1.2526108665231146,11.636989505062596
2426163.3541130554,0.6842235506247321,1.0,11.0,0.009245784517988442,0.0008405258652716765,0.6842235506247321,12.303930962071947,0.0008405258652716765,0.6842235506247321,12.303930962071947
4132866.3390135854,0.449962183329198,1.0,11.0,0.005173863067496782,0.00047035118795425295,0.449962183329198,12.836589141816562,0.00047035118795425295,0.449962183329198,12.836589141816562
555820.9397801354,0.30577686407286175,1.0,4.0,0.01503146210391819,0.0037578655259795477,0.30577686407286175,11.841914306024563,0.0037578655259795477,0.30577686407286175,11.841914306024563
1767491.5691567976,4.960684225958859,1.0,3.0,1.9610233217298747,0.6536744405766248,4.960684225958859,13.28646131546719,0.6536744405766248,4.960684225958859,13.28646131546719
863688.8489221742,1.3750157495910003,1.0,1.5,0.07359587484332215,0.04906391656221477,1.3750157495910003,13.263504482988917,0.04906391656221477,1.3750157495910003,13.263504482988917
120096.15324275977,0.44212777864911573,1.0,4.5,4.001387435586687,0.8891972079081526,0.44212777864911573,10.192008050434042,0.8891972079081526,0.44212777864911573,10.192008050434042
146005798.79848114,0.3679872405389362,1.0,3.0,0.10457000232414748,0.034856667441382494,0.3679872405389362,17.700544628560714,0.034856667441382494,0.3679872405389362,17.700544628560714
35697226.05285394,0.36298625924522365,1.0,2.0,0.03347167986099409,0.016735839930497046,0.36298625924522365,16.69743641759703,0.016735839930497046,0.36298625924522365,16.69743641759703
67221432.71163641,1.8347833514028067,1.0,10.0,1.9610233217298747,0.19610233217298748,1.8347833514028067,15.720917749572372,0.19610233217298748,1.8347833514028067,15.720917749572372
26524380.93278043,0.301169507626899,1.0,3.0,1.8923508493331982,0.6307836164443994,0.301169507626899,15.994962727618114,0.6307836164443994,0.301169507626899,15.994962727618114
305605213.1628523,1.174330363855305,1.0,10.0,0.526994406434685,0.0526994406434685,1.174330363855305,17.235219613618018,0.0526994406434685,1.174330363855305,17.235219613618018
3902918.671520707,0.4591995492590121,1.0,6.0,0.11536206995266586,0.019227011658777642,0.4591995492590121,13.385477276600025,0.019227011658777642,0.4591995492590121,13.385477276600025
