_idx,dm,_sym,_alias,_fwk,name,description,relevant,_cat,_dims,_units,_min,_max,_mean,_std_units,_std_min,_std_max,_std_mean,_dist_type,_depends,_dist_params
27,3,c_{3},c_tas_3,CUSTOM,TAS 3 resourses,Number of resources allocated in TAS 3,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
28,3,K_{3},K_tas_3,CUSTOM,TAS 3 q-capacity,Allocated request capacity in TAS 3 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{3}'],"{'low': 1, 'high': 11}"
29,3,\delta_{3},delta_tas_3,CUSTOM,TAS 3 req data density,Data density for request in TAS 3 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
30,3,L_{3},L_tas_3,CUSTOM,TAS 3 mean processing requests,Average number of request in TAS 3 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{3}' , '\mu_{3}' , 'c_{3}' , 'K_{3}']",{}
31,3,Lq_{3},Lq_tas_3,CUSTOM,TAS 3 mean in memory requests,Average number of request in TAS 3 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{3}' , '\mu_{3}' , 'c_{3}' , 'K_{3}']",{}
32,3,W_{3},W_tas_3,CUSTOM,TAS 3 mean time to answer,Average time to complete a request in TAS 3,TRUE,OUT,T,s,0,0.001898777,0.001898777,s,0,0.001898777,0.001898777,queue_time,"['\chi_{3}' , 'L_{3}']",{}
33,3,Wq_{3},Wq_tas_3,CUSTOM,TAS 3 mean time in buffer,Average time for a request to transit the buffer in TAS 3,FALSE,CTRL,T,s,0,0.000470206,0.000470206,s,0,0.000470206,0.000470206,queue_time,"['\chi_{3}' , 'Lq_{3}']",{}
34,4,\lambda_{4},lambda_tas_4,CUSTOM,TAS 4 arrival rate,Arrival rate for TAS 4,TRUE,IN,E*T^-1,req/s,0.1,194.0625,97.08125,req/s,0.1,194.0625,97.08125,uniform,[],"{'low': 0.1, 'high': 194.0625}"
35,4,\mu_{4},mu_tas_4,CUSTOM,TAS 4 service rate,Service rate for TAS 4,TRUE,CTRL,E*T^-1,req/s,0.1,360,180.05,req/s,0.1,360,180.05,uniform,[],"{'low': 0.1, 'high': 360}"
36,4,err_{4},err_tas_4,CUSTOM,TAS 4 error probability,Service error probability for TAS 4,FALSE,CTRL,E*T^-1,n.a.,12.00%,12.00%,12.00%,n.a.,0.12,0.12,0.12,constant,[],{'constant': 0.12}
